text,category,intent,sentiment,priority,root_cause,escalation_risk,is_escalated
I would like to request a refund for order ORD-334053 since the service was not provided.,REFUND,REFUND_REQUEST,NEGATIVE,MEDIUM,REFUND_DELAY,0.46,0
I opened the package and Wireless Headphones has multiple scratches and is dented. The packaging was damaged.,PRODUCT,DAMAGED_PRODUCT,VERY_NEGATIVE,HIGH,DAMAGED_IN_TRANSIT,0.71,0
"I tried to purchase Mechanical Keyboard and the transaction failed on checkout. However, my credit card was debited twice.",PAYMENT,PAYMENT_FAILED,VERY_NEGATIVE,HIGH,PAYMENT_GATEWAY_FAILURE,0.83,1
The API is returning bad gateway errors repeatedly when we try to fetch our account reports.,TECHNICAL,TECHNICAL_FAILURE,NEGATIVE,HIGH,TECHNICAL_FAILURE,0.66,0
Your checkout page is unresponsive. The loading spinner just spins forever without finishing.,TECHNICAL,TECHNICAL_FAILURE,NEGATIVE,HIGH,TECHNICAL_FAILURE,0.68,0
I want to complain about the lack of communication regarding my order delay. Nobody updates me.,SERVICE,OTHER,VERY_NEGATIVE,MEDIUM,SUPPORT_DELAY,0.63,0
I opened the package and Wireless Headphones has multiple scratches and is dented. The packaging was damaged.,PRODUCT,DAMAGED_PRODUCT,VERY_NEGATIVE,HIGH,DAMAGED_IN_TRANSIT,0.81,1
I suspect my profile has been compromised because there are active login sessions from unknown locations.,SECURITY,SECURITY_ISSUE,VERY_NEGATIVE,CRITICAL,ACCOUNT_COMPROMISED,0.88,1
The tracking number TRK58586340 is not updating at all. It just says shipment pending.,DELIVERY,ORDER_DELAY,NEGATIVE,MEDIUM,LOGISTICS_DELAY,0.65,0
I would like to request a refund for order ORD-757924 since the service was not provided.,REFUND,REFUND_REQUEST,NEGATIVE,MEDIUM,REFUND_DELAY,0.65,0
I cannot access my dashboard. The website redirects me to login repeatedly in an infinite loop.,ACCOUNT,ACCOUNT_LOCKED,NEUTRAL,MEDIUM,CREDENTIALS_ISSUE,0.39,0
I cannot access my dashboard. The website redirects me to login repeatedly in an infinite loop.,ACCOUNT,ACCOUNT_LOCKED,NEUTRAL,MEDIUM,CREDENTIALS_ISSUE,0.33,0
My transaction was declined at checkout but my bank statement shows the payment was successfully processed. Please help.,PAYMENT,PAYMENT_FAILED,VERY_NEGATIVE,HIGH,PAYMENT_GATEWAY_FAILURE,0.93,1
I would like to request a refund for order ORD-897549 since the service was not provided.,REFUND,REFUND_REQUEST,NEGATIVE,MEDIUM,REFUND_DELAY,0.56,0
My password was changed without my permission. I received an alert but I did not initiate this.,SECURITY,SECURITY_ISSUE,VERY_NEGATIVE,CRITICAL,ACCOUNT_COMPROMISED,0.87,1
The screen of the Wireless Headphones I received is completely shattered and broken. I want a replacement.,PRODUCT,DAMAGED_PRODUCT,VERY_NEGATIVE,HIGH,DAMAGED_IN_TRANSIT,0.78,1
The screen of the Wireless Headphones I received is completely shattered and broken. I want a replacement.,PRODUCT,DAMAGED_PRODUCT,VERY_NEGATIVE,HIGH,DAMAGED_IN_TRANSIT,0.79,1
I have been waiting on live chat for 2 hours and no agent has connected. This support is useless.,SERVICE,OTHER,VERY_NEGATIVE,MEDIUM,SUPPORT_DELAY,0.59,0
